url_path,views_total,views_unique
/PacificBiosciences/sawfish,200,78
/PacificBiosciences/sawfish/blob/main/docs/user_guide.md,81,31
/PacificBiosciences/sawfish/issues,54,15
/PacificBiosciences/sawfish/issues/7,23,11
/PacificBiosciences/sawfish/issues/9,13,8
/PacificBiosciences/sawfish/issues/8,13,5
/PacificBiosciences/sawfish/actions/runs/12385004521/job/34570518795,10,1
/PacificBiosciences/sawfish/blob/main/docs/accuracy.md,9,4
/PacificBiosciences/sawfish/releases/tag/v0.12.7,9,4
/PacificBiosciences/sawfish/releases,7,6
