url_path,views_total,views_unique
/PacificBiosciences/sawfish,29,20
/PacificBiosciences/sawfish/issues,22,4
/PacificBiosciences/sawfish/blob/main/docs/user_guide.md,19,13
/PacificBiosciences/sawfish/issues/10,10,5
/Pacificbiosciences/sawfish,8,1
/PacificBiosciences/sawfish/issues/9,4,2
/PacificBiosciences/sawfish/releases/tag/v0.12.7,4,2
/PacificBiosciences/sawfish/issues/6,2,2
/PacificBiosciences/sawfish/blob/main/LICENSE-THIRDPARTY.json,2,1
/PacificBiosciences/sawfish/issues/4,2,1
